CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,RATING,311_Zip,311_Severity_1,311_Severity_2,311_Severity_3,Crime_Zip,Crime_Severity_1,Crime_Severity_2,Crime_Severity_3
50046601,MADDEN'S UPTOWN BAR & GRILL,BRONX,5757,BROADWAY,10463,9292433480,American,4.59,10463,22589,38555,43842,10463,3908,9852,1807
50018090,BLVD WINE BAR,QUEENS,4720,CENTER BLVD,11109,7184408520,American,3.64,11109,266,708,518,11109,818,1426,367
40939600,BANQUET KITCHEN (MARRIOTT),MANHATTAN,85,WEST STREET,10006,2123856511,American,2.27,10006,1607,3628,1163,10006,171,353,88
41337465,CAFE SELECT,MANHATTAN,212,LAFAYETTE STREET,10012,2129259322,Eastern European,3.46,10012,10105,29161,12322,10012,8117,15340,1736
41375578,DENIZ RESTAURANT,BROOKLYN,662,FULTON STREET,11217,7188526503,Mediterranean,2.16,11217,17232,34123,16821,11217,2989,5079,1081
41586885,CENTRAL MARKET ALL AMERICAN GRILL,MANHATTAN,4,SOUTH STREET,10004,2125145220,American,2.27,10004,3212,5162,2554,10004,524,1284,313
50033283,MAIELLA,QUEENS,4610,CENTER BLVD,11109,7186061770,Italian,4.29,11109,266,708,518,11109,818,1426,367
50035962,EAST GARDEN,MANHATTAN,1685,1ST AVE,10128,2128315900,Chinese,3.03,10128,8773,26742,14110,10128,2851,4775,959
41282799,HUCKLEBERRY BAR,BROOKLYN,588,GRAND STREET,11211,7182188555,American,2.55,11211,22333,55262,23791,11211,4413,7125,1361
41604543,THE NEW PORTALES TAQUERIA,QUEENS,NULL,BROADWAY,11106,7182046736,Mexican,4.51,11106,13342,23979,12534,11106,3724,6901,1868
50013473,RED LOBSTER,BRONX,2090,BARTOW AVE,10475,7186714223,Seafood,4.00,10475,6305,6264,4275,10475,2782,6763,1315
50046634,A GUSTO,BROOKLYN,1450,FULTON ST,11216,3475339961,CafÃƒÂ©/Coffee/Tea,2.71,11216,23870,59047,41629,11216,6951,10173,2630
50018547,MANDEVILLES BISTRO,BROOKLYN,944,FLATBUSH AVE,11226,3474350092,Caribbean,4.44,11226,38367,89604,87491,11226,12093,19121,5356
41470093,BLUTOS PUB,QUEENS,4503,162 STREET,11358,7184602526,American,4.59,11358,15309,16745,12716,11358,1703,2289,707
40912868,COSI,MANHATTAN,61,WEST   48 STREET,10020,2122657579,American,4.75,10020,610,916,319,10020,3442,5865,828
40539772,BOWLER LAND,BRONX,2417,HOLLERS AVENUE,10475,7189948700,American,3.30,10475,6305,6264,4275,10475,2782,6763,1315
41495525,SINGAS FAMOUS PIZZA,BROOKLYN,512,GRAND STREET,11211,7187822100,Pizza,2.92,11211,22333,55262,23791,11211,4413,7125,1361
41067778,SALA ONE NINE,MANHATTAN,35,WEST   19 STREET,10011,2122292300,Spanish,2.79,10011,17530,39714,18836,10011,2222,3395,598
50056450,K & V BAKERY,BROOKLYN,1405,AVENUE U,11229,7186270986,Bakery,4.08,11229,25995,35241,30898,11229,4686,6859,1679
41424474,JOHN JAY DINING HALL,MANHATTAN,515,WEST  114 STREET,10027,2128547162,American,2.03,10027,15670,46879,33064,10027,2332,6122,1451
41661174,V {iv} Thai Restaurant & Bar,MANHATTAN,138,EAST   34 STREET,10016,2122133317,Thai,4.39,10016,17206,37805,17952,10016,1627,1927,380
41162689,PEE DEE,MANHATTAN,50,WEST  125 STREET,10027,2129961081,Steak,3.48,10027,15670,46879,33064,10027,2332,6122,1451
40660413,BELLA MIA,MANHATTAN,787,8 AVENUE,10036,2123079449,Italian,4.79,10036,18034,32494,18650,10036,3549,5802,1176
50033075,TORISHIN,MANHATTAN,362,W 53RD ST,10019,2127570108,Japanese,2.10,10019,20865,40648,22968,10019,1559,2764,958
50037455,DQ GRILL & CHILL,BROOKLYN,27,GRAHAM AVE,11206,9292959854,American,4.08,11206,23750,54139,25839,11206,8401,13854,2989
50045343,FIX-U-PLATE,BROOKLYN,1412,ROCKAWAY PKWY,11236,7189754544,Caribbean,3.63,11236,31514,40718,26801,11236,7936,11853,4117
41711390,NEW BAY PKWY CAFE,BROOKLYN,6812,BAY PKWY AVE,11204,7182328008,Chinese,3.03,11204,23688,29703,29314,11204,2950,5173,1313
40974766,CHIKALICIOUS DESSERT BAR,MANHATTAN,203,EAST   10 STREET,10003,2129959511,Other,2.71,10003,20414,48620,22048,10003,7802,14750,1804
40560941,LYCEUM THEATRE,MANHATTAN,149,WEST   45 STREET,10036,2125867610,American,3.47,10036,18034,32494,18650,10036,3549,5802,1176
41293446,BOCCA,MANHATTAN,39,EAST   19 STREET,10003,2123871200,Italian,2.41,10003,20414,48620,22048,10003,7802,14750,1804
41635064,WYTHE DINER/ LA ESQUINA,BROOKLYN,225,WYTHE AVENUE,11249,7183935500,Mexican,3.07,11249,9288,21768,10478,11249,2494,3497,693
41040849,DISHES,MANHATTAN,6,EAST   45 STREET,10017,2126875511,American,1.90,10017,10058,14601,8600,10017,809,1054,308
50051643,PELS PIE CO,BROOKLYN,446,ROGERS AVE,11225,3473505906,CafÃƒÂ©/Coffee/Tea,4.64,11225,20835,51659,52308,11225,6853,11714,3135
50002500,PIPPALI,MANHATTAN,129,E 27TH ST,10016,2126891999,Indian,3.52,10016,17206,37805,17952,10016,1627,1927,380
40577393,DON COQUI,QUEENS,2818,31 STREET,11102,7182747474,Spanish,2.21,11102,12665,18692,10696,11102,2175,3826,1120
41448603,TOMO JAPANESE RESTAURANT,BROOKLYN,1077,FLUSHING AVENUE,11237,7184563695,Japanese,1.98,11237,21760,48029,24373,11237,7351,10865,2362
